Gender,Age Group,Weekly playtime,Overall Atmosphere,Favourite Atmoshphere Aspect,Nostalgic,Intuitive Controls,Difficulties with Controls,Puzzle Difficulty,Game Theme Communication,Theme Providing Elements,Audio Contribution,Recommendation Likelihood
Male,18-24,6-15hrs,Very engaging,Audio Effects,Yes,Very intuitive,No,Just Right,Somewhat clearly,Visuals,Enhanced the experience greatly,9
Male,18-24,6-15hrs,Somewhat engaging,Pacing of GamePlay,Yes,Very intuitive,No,Just Right,Somewhat clearly,Puzzles,Enhanced the experience greatly,7
Male,18-24,6-15hrs,Very engaging,Audio Effects,Yes,Very intuitive,No,Very difficult,Somewhat clearly,Text/dialogue,Enhanced the experience greatly,8
Male,25-34,6-15hrs,Very engaging,Visual Style,Yes,Very intuitive,No,Just Right,Somewhat clearly,Text/dialogue,Enhanced the experience greatly,8
Male,35-44,1-5hrs,Somewhat engaging,Visual Style,Yes,Somewhat intuitive,Yes(Please Specify),Neutral,Somewhat clearly,Text/dialogue,Enhanced the experience greatly,7
Male,35-44,1-5hrs,Somewhat engaging,Visual Style,Yes,Very intuitive,No,Too Easy,Somewhat clearly,Visuals,Enhanced the experience greatly,7
Female,18-24,6-15hrs,Somewhat engaging,Narrative Tone,Yes,Somewhat intuitive,No,Just Right,Somewhat unclearly,Visuals;Audio,Somewhat enhanced the experience,6
Female,25-34,1-5hrs,Somewhat engaging,Narrative Tone,Yes,Neutral,No,Neutral,Somewhat clearly,Visuals;Audio;Text/dialogue,Enhanced the experience greatly,7
Male,35-44,1-5hrs,Somewhat engaging,Visual Style,Yes,Very intuitive,No,Too Easy,Very clearly,Visuals;Text/dialogue,Somewhat enhanced the experience,9
Female,18-24,16-30hrs,Neutral,Visual Style,No,Very intuitive,No,Neutral,Very clearly,Visuals;The environment felt like I was imprisoned,Somewhat detracted from the experience,6
Female,18-24,1-5hrs,Somewhat disengaging,Pacing of GamePlay,No,Somewhat intuitive,No,Frustratingly difficult,Somewhat unclearly,Text/dialogue,Did not effect experience,5
Male,18-24,16-30hrs,Somewhat engaging,Visual Style,Yes,Very intuitive,No,Just Right,Very clearly,Visuals;Puzzles;Text/dialogue,Enhanced the experience greatly,8
Female,25-34,6-15hrs,Somewhat engaging,Pacing of GamePlay,Yes,Somewhat intuitive,No,Neutral,Somewhat clearly,Puzzles;Audio,Somewhat enhanced the experience,6
Female,35-44,1-5hrs,Very engaging,Pacing of GamePlay,Yes,Somewhat intuitive,No,Just Right,Somewhat clearly,Audio;Text/dialogue,Enhanced the experience greatly,8
Male,18-24,16-30hrs,Very engaging,Visual Style,Yes,Very intuitive,No,Neutral,Very clearly,Visuals;Text/dialogue,Enhanced the experience greatly,9
Female,18-24,16-30hrs,Very engaging,Visual Style,Yes,Very intuitive,No,Too Easy,Very clearly,Visuals;Puzzles,Enhanced the experience greatly,10
Male,18-24,31-50hrs,Somewhat engaging,Visual Style,No,Very intuitive,No,Frustratingly difficult,Somewhat unclearly,Visuals;Text/dialogue,Did not effect experience,3
Female,18-24,31-50hrs,Very engaging,Visual Style,Yes,Very intuitive,No,Just Right,Very clearly,Visuals;Puzzles;Audio;Text/dialogue,Enhanced the experience greatly,10
Male,25-34,16-30hrs,Somewhat engaging,Audio Effects,Yes,Somewhat intuitive,No,Just Right,Very clearly,Visuals;Puzzles;Environment was top notch,Enhanced the experience greatly,9
Male,45-54,1-5hrs,Somewhat engaging,Narrative Tone,Yes,Neutral,Yes(Please Specify),Just Right,Somewhat clearly,Visuals;Text/dialogue;Intro cinematic,Somewhat enhanced the experience,7
